Artifact Creator | Short Id | Miner algo | Log | Miner Duration | Estimator Duration | LOG_EVENT_COUNT | LOG_TRACE_COUNT | MODEL_ENTITY_COUNT | MODEL_EDGE_COUNT | ALPHA_PRECISION_UNRESTRICTED | EARTH_MOVERS_LIGHT_COVERAGE | Run file | Machine | 
GDT_SPN discovery | rssmt | rssmt | rtfm k4 | 5625 | 0 | 112430 | 30075 | 68 | 82 | 0.112 | 0.7680618110601227 | mrun_rssmt_rtfm_k4.xml | SEF-PA00143522 | 
ToothpasteMinerHP | tmh | tmh | rtfm k4 | 9454 | 0 | 112430 | 30075 | 388 | 500 | 0.904 | 0.9598382699379508 | mrun_tmh_rtfm_k4.xml | SEF-PA00143522 | 
Trace Model With Unity Weights | trace | trace | rtfm k4 | 837 | 0 | 112430 | 30075 | 194787 | 224860 |      |      | mrun_trace_rtfm_k4.xml | SEF-PA00143522 | 
GDT_SPN discovery | rssmt | rssmt | rtfm k5 | 280044 | 0 | 112215 | 30069 | 73 | 90 | 0.113 | 0.7453029610466079 | mrun_rssmt_rtfm_k5.xml | SEF-PA00143522 | 
ToothpasteMinerHP | tmh | tmh | rtfm k5 | 9352 | 0 | 112215 | 30069 | 379 | 486 | 0.903 | 0.9694654147565889 | mrun_tmh_rtfm_k5.xml | SEF-PA00143522 | 
Trace Model With Unity Weights | trace | trace | rtfm k5 | 534 | 0 | 112215 | 30069 | 194363 | 224430 |      |      | mrun_trace_rtfm_k5.xml | SEF-PA00143522 | 
align-inductive_sepsis_k1 | align-inductive | inductive | Sepsis | 142 | 546 | 2885 | 212 | 52 | 68 | 0.0 | 0.45158841836050523 | mrun_align-inductive_sepsis_k1.xml | cl4n030.ib0.hpc.qut.edu.au | 
align-inductive_sepsis_k2 | align-inductive | inductive | Sepsis | 25 | 315 | 2953 | 211 | 44 | 58 | 0.0 | 0.5926922060279416 | mrun_align-inductive_sepsis_k2.xml | cl4n028.ib0.hpc.qut.edu.au | 
align-inductive_sepsis_k3 | align-inductive | inductive | Sepsis | 141 | 562 | 3177 | 211 | 52 | 68 | RUNNING | RUNNING | mrun_align-inductive_sepsis_k3.xml | cl4n028.ib0.hpc.qut.edu.au | 
align-inductive_sepsis_k4 | align-inductive | inductive | Sepsis | 141 | 378 | 3028 | 211 | 49 | 64 | 0.0 | 0.523953064610776 | mrun_align-inductive_sepsis_k4.xml | cl4n007.ib0.hpc.qut.edu.au | 
align-inductive_sepsis_k5 | align-inductive | inductive | Sepsis | 141 | 511 | 3171 | 205 | 55 | 74 | 0.0 | 0.5152710582455047 | mrun_align-inductive_sepsis_k5.xml | cl4n007.ib0.hpc.qut.edu.au | 
fe-split_sepsis_k1 | fe-split | split | Sepsis | 963 | 55 | 2885 | 212 | 47 | 62 | 0.0 | 0.5745794184877846 | mrun_fe-split_sepsis_k1.xml | cl5n015.ib0.hpc.qut.edu.au | 
fe-split_sepsis_k2 | fe-split | split | Sepsis | 897 | 21 | 2953 | 211 | 49 | 64 | 0.0 | 0.47468544758596465 | mrun_fe-split_sepsis_k2.xml | cl5n015.ib0.hpc.qut.edu.au | 
fe-split_sepsis_k3 | fe-split | split | Sepsis | 876 | 27 | 3177 | 211 | 47 | 60 | 0.0 | 0.42794488681550336 | mrun_fe-split_sepsis_k3.xml | cl5n015.ib0.hpc.qut.edu.au | 
fe-split_sepsis_k4 | fe-split | split | Sepsis | 841 | 21 | 3028 | 211 | 51 | 66 | 0.0 | 0.47063554405498675 | mrun_fe-split_sepsis_k4.xml | cl5n015.ib0.hpc.qut.edu.au | 
fe-split_sepsis_k5 | fe-split | split | Sepsis | 912 | 21 | 3171 | 205 | 48 | 62 | 0.0 | 0.48835631173536165 | mrun_fe-split_sepsis_k5.xml | cl5n015.ib0.hpc.qut.edu.au | 
msaprh-split_sepsis_k1 | msaprh-split | split | Sepsis | 963 | 47 | 2885 | 212 | 47 | 62 | RUNNING | RUNNING | mrun_msaprh-split_sepsis_k1.xml | cl4n093.ib0.hpc.qut.edu.au | 
msaprh-split_sepsis_k2 | msaprh-split | split | Sepsis | 897 | 32 | 2953 | 211 | 49 | 64 | RUNNING | RUNNING | mrun_msaprh-split_sepsis_k2.xml | cl4n009.ib0.hpc.qut.edu.au | 
tmh_sepsis_k4 | tmh | tmh | Sepsis | 0 | 0 | 12186 | 839 | 2943 | 3154 | 0.215 | 0.8011615596374094 | mrun_tmh_sepsis_k4.xml | cl4n017.ib0.hpc.qut.edu.au | 
GDT_SPN discovery | rssmt | rssmt | sepsis k1 | 3677220 | 0 | 2912 | 212 | 89 | 114 | 0.0 | FAILED | mrun_rssmt_sepsis_k1.xml | SEF-1953019678 | 
ToothpasteMinerHP | tmh | tmh | sepsis k1 | 9029 | 0 | 2885 | 212 | 2734 | 2936 | 0.212 | 0.793525505709468 | mrun_tmh_sepsis_k1.xml | SEF-PA00143522 | 
Trace Model With Unity Weights | trace | trace | sepsis k1 | 62 | 0 | 2912 | 212 | 5614 | 5824 | 0.849 | 0.7283886182703736 | mrun_trace_sepsis_k1.xml | SEF-1953019678 | 
GDT_SPN discovery | rssmt | rssmt | sepsis k2 | 6611922 | 0 | 3045 | 211 | 92 | 118 | 0.0 | FAILED | mrun_rssmt_sepsis_k2.xml | SEF-1953019678 | 
ToothpasteMinerHP | tmh | tmh | sepsis k2 | 4157 | 0 | 2953 | 211 | 2898 | 3102 | 0.237 | 0.7903187079158686 | mrun_tmh_sepsis_k2.xml | SEF-PA00143522 | 
Trace Model With Unity Weights | trace | trace | sepsis k2 | 15 | 0 | 3045 | 211 | 5881 | 6090 | 0.863 | 0.7028274304594719 | mrun_trace_sepsis_k2.xml | SEF-1953019678 | 
GDT_SPN discovery | rssmt | rssmt | sepsis k3 | 29614883 | 0 | 2947 | 211 | 102 | 128 | 0.0 | FAILED | mrun_rssmt_sepsis_k3.xml | SEF-1953019678 | 
ToothpasteMinerHP | tmh | tmh | sepsis k3 | 5145 | 0 | 3177 | 211 | 3357 | 3552 | 0.273 | 0.7861738844084762 | mrun_tmh_sepsis_k3.xml | SEF-PA00143522 | 
Trace Model With Unity Weights | trace | trace | sepsis k3 | 16 | 0 | 2947 | 211 | 5685 | 5894 | 0.853 | 0.6875145395044155 | mrun_trace_sepsis_k3.xml | SEF-1953019678 | 
GDT_SPN discovery | rssmt | rssmt | sepsis k4 | 9270624 | 0 | 3330 | 211 | 102 | 128 | 0.0 | FAILED | mrun_rssmt_sepsis_k4.xml | SEF-1953019678 | 
Trace Model With Unity Weights | trace | trace | sepsis k4 | 32 | 0 | 3330 | 211 | 6451 | 6660 | 0.814 | 0.7013686771990284 | mrun_trace_sepsis_k4.xml | SEF-1953019678 | 
GDT_SPN discovery | rssmt | rssmt | sepsis k5 | 1562521 | 0 | 2980 | 205 | 90 | 114 | 0.0 | FAILED | mrun_rssmt_sepsis_k5.xml | SEF-1953019678 | 
ToothpasteMinerHP | tmh | tmh | sepsis k5 | 5226 | 0 | 3171 | 205 | 3353 | 3556 | 0.238 | 0.7970592145684177 | mrun_tmh_sepsis_k5.xml | SEF-PA00143522 | 
Trace Model With Unity Weights | trace | trace | sepsis k5 | 0 | 0 | 2980 | 205 | 5757 | 5960 | 0.898 | 0.6946280961090505 | mrun_trace_sepsis_k5.xml | SEF-1953019678 | 
align-inductive_teleclaims_k1 | align-inductive | inductive | teleclaims | 153 | 182 | 9340 | 704 | 28 | 30 | 0.0 | 0.5181717646755921 | mrun_align-inductive_teleclaims_k1.xml | cl4n011.ib0.hpc.qut.edu.au | 
align-inductive_teleclaims_k2 | align-inductive | inductive | teleclaims | 30 | 81 | 9285 | 703 | 29 | 32 | 0.0 | 0.5254971085340936 | mrun_align-inductive_teleclaims_k2.xml | cl4n011.ib0.hpc.qut.edu.au | 
align-inductive_teleclaims_k3 | align-inductive | inductive | teleclaims | 22 | 73 | 9299 | 703 | 29 | 32 | 0.0 | 0.5270547644873229 | mrun_align-inductive_teleclaims_k3.xml | cl4n011.ib0.hpc.qut.edu.au | 
align-inductive_teleclaims_k4 | align-inductive | inductive | teleclaims | 22 | 77 | 9119 | 703 | 29 | 32 | 0.0 | 0.5255427307149907 | mrun_align-inductive_teleclaims_k4.xml | cl4n011.ib0.hpc.qut.edu.au | 
align-inductive_teleclaims_k5 | align-inductive | inductive | teleclaims | 13 | 66 | 9095 | 699 | 28 | 30 | 0.0 | 0.5171036487140881 | mrun_align-inductive_teleclaims_k5.xml | cl4n011.ib0.hpc.qut.edu.au | 
fe-split_teleclaims_k1 | fe-split | split | teleclaims | 2240 | 92 | 9340 | 704 | 56 | 66 | 0.0 | 0.6332451531906641 | mrun_fe-split_teleclaims_k1.xml | cl5n015.ib0.hpc.qut.edu.au | 
fe-split_teleclaims_k2 | fe-split | split | teleclaims | 849 | 54 | 9285 | 703 | 56 | 66 | 0.0 | 0.6310449044718052 | mrun_fe-split_teleclaims_k2.xml | cl5n015.ib0.hpc.qut.edu.au | 
fe-split_teleclaims_k3 | fe-split | split | teleclaims | 897 | 61 | 9299 | 703 | 56 | 66 | 0.0 | 0.631792552063076 | mrun_fe-split_teleclaims_k3.xml | cl5n015.ib0.hpc.qut.edu.au | 
fe-split_teleclaims_k4 | fe-split | split | teleclaims | 817 | 59 | 9119 | 703 | 57 | 68 | RUNNING | RUNNING | mrun_fe-split_teleclaims_k4.xml | cl5n015.ib0.hpc.qut.edu.au | 
msaprh-split_teleclaims_k1 | msaprh-split | split | teleclaims | 2240 | 106 | 9340 | 704 | 56 | 66 | 0.0 | 0.6332549806712902 | mrun_msaprh-split_teleclaims_k1.xml | cl4n028.ib0.hpc.qut.edu.au | 
msaprh-split_teleclaims_k2 | msaprh-split | split | teleclaims | 849 | 56 | 9285 | 703 | 56 | 66 | 0.0 | 0.630424697479022 | mrun_msaprh-split_teleclaims_k2.xml | cl4n028.ib0.hpc.qut.edu.au | 
msaprh-split_teleclaims_k3 | msaprh-split | split | teleclaims | 897 | 59 | 9299 | 703 | 56 | 66 | 0.0 | 0.6311878176148586 | mrun_msaprh-split_teleclaims_k3.xml | cl4n028.ib0.hpc.qut.edu.au | 
msaprh-split_teleclaims_k4 | msaprh-split | split | teleclaims | 817 | 50 | 9119 | 703 | 57 | 68 | RUNNING | RUNNING | mrun_msaprh-split_teleclaims_k4.xml | cl4n028.ib0.hpc.qut.edu.au | 
msaprh-split_teleclaims_k5 | msaprh-split | split | teleclaims | 828 | 58 | 9095 | 699 | 56 | 66 | 0.0 | 0.6296405334878499 | mrun_msaprh-split_teleclaims_k5.xml | cl4n068.ib0.hpc.qut.edu.au | 
GDT_SPN discovery | rssmt | rssmt | teleclaims k1 | 500 | 0 | 9156 | 704 | 60 | 76 | 0.0 | FAILED | mrun_rssmt_teleclaims_k1.xml | SEF-1953019678 | 
ToothpasteMinerHP | tmh | tmh | teleclaims k1 | 2953 | 0 | 9340 | 704 | 116 | 126 | 0.862 | 0.9528958148098884 | mrun_tmh_teleclaims_k1.xml | SEF-PA00143522 | 
Trace Model With Unity Weights | trace | trace | teleclaims k1 | 121 | 0 | 9156 | 704 | 17610 | 18312 | 1.0 | 0.9831573647611281 | mrun_trace_teleclaims_k1.xml | SEF-PA00143522 | 
GDT_SPN discovery | rssmt | rssmt | teleclaims k2 | 437 | 0 | 9319 | 703 | 60 | 76 | 0.0 |      | mrun_rssmt_teleclaims_k2.xml | SEF-1953019678 | 
ToothpasteMinerHP | tmh | tmh | teleclaims k2 | 2463 | 0 | 9285 | 703 | 116 | 126 | 0.863 | 0.9518514349180109 | mrun_tmh_teleclaims_k2.xml | SEF-PA00143522 | 
Trace Model With Unity Weights | trace | trace | teleclaims k2 | 46 | 0 | 9319 | 703 | 17937 | 18638 | 1.0 | 0.9777856886386871 | mrun_trace_teleclaims_k2.xml | SEF-PA00143522 | 
GDT_SPN discovery | rssmt | rssmt | teleclaims k3 | 437 | 0 | 9301 | 703 | 60 | 76 | 0.0 | FAILED | mrun_rssmt_teleclaims_k3.xml | SEF-1953019678 | 
ToothpasteMinerHP | tmh | tmh | teleclaims k3 | 2251 | 0 | 9299 | 703 | 116 | 126 | 0.862 | 0.9561677449668934 | mrun_tmh_teleclaims_k3.xml | SEF-PA00143522 | 
Trace Model With Unity Weights | trace | trace | teleclaims k3 | 51 | 0 | 9301 | 703 | 17901 | 18602 | 1.0 | 0.9581254288793247 | mrun_trace_teleclaims_k3.xml | SEF-PA00143522 | 
GDT_SPN discovery | rssmt | rssmt | teleclaims k4 | 438 | 0 | 9049 | 703 | 60 | 76 | 0.0 | FAILED | mrun_rssmt_teleclaims_k4.xml | SEF-1953019678 | 
ToothpasteMinerHP | tmh | tmh | teleclaims k4 | 2141 | 0 | 9119 | 703 | 116 | 126 | 0.855 | 0.9474202136393466 | mrun_tmh_teleclaims_k4.xml | SEF-PA00143522 | 
Trace Model With Unity Weights | trace | trace | teleclaims k4 | 44 | 0 | 9049 | 703 | 17397 | 18098 | 1.0 | 1.0 | mrun_trace_teleclaims_k4.xml | SEF-PA00143522 | 
GDT_SPN discovery | rssmt | rssmt | teleclaims k5 | 453 | 0 | 9313 | 699 | 60 | 76 | 0.0 | FAILED | mrun_rssmt_teleclaims_k5.xml | SEF-1953019678 | 
ToothpasteMinerHP | tmh | tmh | teleclaims k5 | 2215 | 0 | 9095 | 699 | 116 | 126 | 0.849 | 0.9485524117295862 | mrun_tmh_teleclaims_k5.xml | SEF-PA00143522 | 
Trace Model With Unity Weights | trace | trace | teleclaims k5 | 46 | 0 | 9313 | 699 | 17929 | 18626 | 1.0 | 0.9663510332053358 | mrun_trace_teleclaims_k5.xml | SEF-PA00143522 | 

